x	y	value
865500	1623500	63
865500	1624000	118
865500	1624500	83
865500	1626000	43
865500	1653000	13
865500	1653500	0
865500	1654000	5
865500	1654500	5
865500	1655000	38
865500	1655500	5
865500	1656500	103
865500	1677500	153
866000	1601000	38
866000	1601500	13
866000	1609000	28
866000	1609500	38
866000	1620500	0
866000	1621000	48
866000	1631500	8
866000	1652500	8
866000	1653500	28
866000	1655000	48
866000	1655500	8
866000	1656500	13
866000	1657000	119
866000	1658500	5
866500	1601500	5
866500	1610000	98
866500	1610500	111
866500	1612000	8
866500	1617000	8
866500	1619000	33
866500	1619500	18
866500	1621500	33
866500	1622000	129
866500	1623000	5
866500	1623500	133
866500	1629500	13
866500	1652500	38
866500	1653000	5
866500	1655000	8
866500	1655500	28
866500	1657000	43
866500	1658000	5
866500	1658500	8
866500	1675500	8
867000	1610000	28
867000	1610500	0
867000	1617500	28
867000	1619000	94
867000	1619500	8
867000	1620000	18
867000	1620500	53
867000	1622000	8
867000	1625000	8
867000	1626000	13
867000	1629000	5
867000	1629500	43
867000	1652000	5
867000	1652500	28
867000	1653500	88
867000	1655000	145
867000	1655500	239
867000	1656000	33
867000	1675500	23
867500	1610000	63
867500	1617500	13
867500	1622000	5
867500	1625500	8
867500	1626000	18
867500	1640500	63
867500	1648000	5
867500	1652500	0
867500	1653000	0
867500	1657000	23
867500	1657500	53
867500	1677000	8
868000	1610000	5
868000	1618500	73
868000	1619000	8
868000	1625500	8
868000	1640500	8
868000	1647500	8
868000	1652500	58
868000	1653000	43
868000	1653500	5
868000	1657500	13
868000	1658000	13
868000	1677000	5
868000	1677500	48
868000	1679000	183
868500	1618500	8
868500	1619000	18
868500	1624000	5
868500	1625000	8
868500	1625500	8
868500	1626500	5
868500	1632000	18
868500	1632500	48
868500	1633000	5
868500	1646500	8
868500	1647000	13
868500	1647500	18
868500	1652000	18
868500	1652500	5
868500	1653000	8
868500	1653500	23
868500	1656000	18
868500	1656500	73
868500	1658000	5
868500	1658500	73
868500	1659000	5
868500	1675500	123
868500	1676000	23
868500	1679000	5
869000	1618000	88
869000	1618500	0
869000	1619000	23
869000	1619500	5
869000	1623500	68
869000	1624500	183
869000	1625000	5
869000	1632000	13
869000	1632500	5
869000	1639000	13
869000	1646000	33
869000	1646500	18
869000	1651000	5
869000	1651500	73
869000	1653500	48
869000	1654000	13
869000	1654500	58
869000	1656000	8
869000	1656500	63
869000	1657000	5
869000	1657500	5
869000	1658000	103
869000	1658500	5
869000	1659000	53
869000	1678000	68
869000	1678500	23
869500	1611000	5
869500	1618000	8
869500	1619000	5
869500	1619500	8
869500	1620000	8
869500	1623500	38
869500	1624500	48
869500	1625000	8
869500	1635500	38
869500	1636000	5
869500	1639000	8
869500	1646000	5
869500	1649000	0
869500	1651500	5
869500	1653500	5
869500	1654500	33
869500	1655500	38
869500	1657000	5
869500	1659000	28
869500	1676000	18
869500	1676500	53
869500	1678500	5
869500	1679000	28
870000	1611000	8
870000	1614000	8
870000	1614500	5
870000	1619500	93
870000	1620000	48
870000	1621500	5
870000	1622000	93
870000	1624500	8
870000	1625000	88
870000	1627000	5
870000	1627500	23
870000	1635500	5
870000	1636500	5
870000	1639000	33
870000	1641000	38
870000	1641500	13
870000	1648500	38
870000	1649000	43
870000	1651500	33
870000	1652000	13
870000	1655500	5
870000	1656000	18
870000	1657500	5
870000	1658000	23
870000	1658500	28
870000	1659000	0
870000	1676000	43
870000	1677500	178
870000	1678000	78
870500	1603500	23
870500	1620000	5
870500	1622000	188
870500	1622500	18
870500	1624000	8
870500	1636500	28
870500	1639500	8
870500	1640000	8
870500	1640500	68
870500	1641000	8
870500	1648500	5
870500	1649000	23
870500	1651500	13
870500	1652000	18
870500	1654500	28
870500	1655000	23
870500	1656000	13
870500	1657000	38
870500	1658500	8
870500	1674000	8
870500	1674500	33
870500	1676000	5
870500	1676500	28
870500	1677500	13
870500	1678000	83
871000	1603500	53
871000	1604500	8
871000	1605000	5
871000	1614500	8
871000	1621500	33
871000	1622000	103
871000	1622500	118
871000	1623000	23
871000	1624000	0
871000	1640000	8
871000	1646000	5
871000	1648000	128
871000	1648500	28
871000	1651500	28
871000	1655000	33
871000	1659000	8
871000	1674000	8
871000	1676000	18
871000	1676500	73
871500	1604500	113
871500	1605000	5
871500	1611500	5
871500	1612000	5
871500	1637500	13
871500	1639500	8
871500	1642000	48
871500	1644000	8
871500	1645500	8
871500	1646000	8
871500	1646500	78
871500	1647000	13
871500	1654500	5
871500	1674000	5
871500	1675000	73
871500	1677000	33
871500	1679500	103
872000	1600500	5
872000	1602500	48
872000	1603000	5
872000	1606000	73
872000	1615500	8
872000	1634500	98
872000	1637500	83
872000	1639500	23
872000	1640000	78
872000	1643500	5
872000	1644000	8
872000	1647000	0
872000	1647500	48
872000	1651000	48
872000	1668000	8
872000	1675000	128
872000	1675500	5
872000	1677000	103
872000	1678000	169
872000	1678500	38
872000	1679500	153
872000	1680000	23
872500	1600000	13
872500	1601000	18
872500	1601500	28
872500	1635000	5
872500	1636000	28
872500	1638000	18
872500	1639500	13
872500	1640000	53
872500	1641000	38
872500	1641500	13
872500	1647000	0
872500	1647500	5
872500	1648500	64
872500	1649000	108
872500	1650000	58
872500	1650500	8
872500	1651000	0
872500	1654500	8
872500	1667500	38
872500	1668000	18
872500	1673500	53
872500	1674000	5
872500	1676500	68
872500	1677500	5
872500	1678000	43
872500	1678500	53
872500	1679000	28
872500	1680000	88
872500	1695500	13
873000	1600000	43
873000	1601000	5
873000	1601500	8
873000	1602500	48
873000	1603000	5
873000	1604500	8
873000	1605000	23
873000	1605500	28
873000	1606500	23
873000	1607500	5
873000	1625500	5
873000	1626000	8
873000	1629000	13
873000	1636500	23
873000	1638000	73
873000	1639000	18
873000	1639500	5
873000	1640000	13
873000	1640500	5
873000	1641000	28
873000	1641500	48
873000	1642000	33
873000	1646500	63
873000	1647000	13
873000	1647500	23
873000	1648500	33
873000	1649000	134
873000	1649500	8
873000	1650000	48
873000	1650500	48
873000	1653500	18
873000	1654000	13
873000	1654500	8
873000	1667500	5
873000	1677000	108
873000	1677500	274
873000	1679500	5
873000	1680000	5
873000	1681000	63
873000	1681500	103
873500	1602500	23
873500	1603000	23
873500	1603500	23
873500	1604000	28
873500	1605000	13
873500	1605500	145
873500	1626000	13
873500	1629000	23
873500	1629500	5
873500	1636000	8
873500	1636500	33
873500	1637500	63
873500	1639000	8
873500	1640500	163
873500	1641000	18
873500	1642000	5
873500	1643500	8
873500	1644000	143
873500	1644500	23
873500	1646000	23
873500	1646500	13
873500	1647000	8
873500	1647500	5
873500	1649000	5
873500	1652000	23
873500	1652500	5
873500	1653500	8
873500	1654000	33
873500	1667500	0
873500	1668000	13
873500	1668500	8
873500	1669000	68
