id,name,date,rainfall
229,북격렬비도,2022-07-26,0
229,북격렬비도,2022-07-27,0
229,북격렬비도,2022-07-28,0
229,북격렬비도,2022-07-29,0
229,북격렬비도,2022-07-30,0
229,북격렬비도,2022-07-31,4
229,북격렬비도,2022-08-01,4
229,북격렬비도,2022-08-02,1.5
229,북격렬비도,2022-08-03,0
229,북격렬비도,2022-08-04,0
229,북격렬비도,2022-08-05,.5
229,북격렬비도,2022-08-06,0
229,북격렬비도,2022-08-07,0
229,북격렬비도,2022-08-08,2
229,북격렬비도,2022-08-09,6
229,북격렬비도,2022-08-10,65
229,북격렬비도,2022-08-11,7
230,덕적북리,2022-07-12,0
230,덕적북리,2022-07-13,183.9
230,덕적북리,2022-07-14,.2
230,덕적북리,2022-07-15,0
230,덕적북리,2022-07-16,0
230,덕적북리,2022-07-17,0
230,덕적북리,2022-07-18,0
230,덕적북리,2022-07-19,0
230,덕적북리,2022-07-20,2.1
230,덕적북리,2022-07-21,20.4
230,덕적북리,2022-07-22,0
230,덕적북리,2022-07-23,21.2
230,덕적북리,2022-07-24,2.2
230,덕적북리,2022-07-25,0
230,덕적북리,2022-07-26,0
230,덕적북리,2022-07-27,0
230,덕적북리,2022-07-28,0
230,덕적북리,2022-07-29,0
230,덕적북리,2022-07-30,0
230,덕적북리,2022-07-31,39.2
230,덕적북리,2022-08-01,20.4
230,덕적북리,2022-08-02,18.5
230,덕적북리,2022-08-03,38.9
230,덕적북리,2022-08-04,0
230,덕적북리,2022-08-05,.1
230,덕적북리,2022-08-06,0
230,덕적북리,2022-08-07,0
230,덕적북리,2022-08-08,131.7
230,덕적북리,2022-08-09,141.4
230,덕적북리,2022-08-10,.4
230,덕적북리,2022-08-11,17.5
296,북부산,2022-07-12,0
296,북부산,2022-07-13,0
296,북부산,2022-07-14,0
296,북부산,2022-07-15,0
296,북부산,2022-07-16,0
296,북부산,2022-07-17,0
296,북부산,2022-07-18,76.5
296,북부산,2022-07-19,.5
296,북부산,2022-07-20,0
296,북부산,2022-07-21,7
296,북부산,2022-07-22,0
296,북부산,2022-07-23,0
296,북부산,2022-07-24,38.5
296,북부산,2022-07-25,0
296,북부산,2022-07-26,0
296,북부산,2022-07-27,0
296,북부산,2022-07-28,.5
296,북부산,2022-07-29,0
296,북부산,2022-07-30,0
296,북부산,2022-07-31,1
296,북부산,2022-08-01,0
296,북부산,2022-08-02,3
296,북부산,2022-08-03,5
296,북부산,2022-08-04,0
296,북부산,2022-08-05,0
296,북부산,2022-08-06,0
296,북부산,2022-08-07,0
296,북부산,2022-08-08,0
296,북부산,2022-08-09,0
296,북부산,2022-08-10,0
296,북부산,2022-08-11,1.5
300,말도,2022-07-12,0
300,말도,2022-07-13,4
300,말도,2022-07-14,.5
300,말도,2022-07-15,0
300,말도,2022-07-16,0
300,말도,2022-07-17,0
300,말도,2022-07-18,65
300,말도,2022-07-19,0
300,말도,2022-07-20,4
300,말도,2022-07-21,7.5
300,말도,2022-07-22,0
300,말도,2022-07-23,4
300,말도,2022-07-24,3
300,말도,2022-07-25,0
300,말도,2022-07-26,0
300,말도,2022-07-27,0
300,말도,2022-07-28,0
300,말도,2022-07-29,0
300,말도,2022-07-30,0
300,말도,2022-07-31,2.5
300,말도,2022-08-01,30.5
300,말도,2022-08-02,0
300,말도,2022-08-03,0
300,말도,2022-08-04,0
300,말도,2022-08-05,0
300,말도,2022-08-06,0
300,말도,2022-08-07,0
300,말도,2022-08-08,0
300,말도,2022-08-09,0
300,말도,2022-08-10,47.5
300,말도,2022-08-11,26
301,임자도,2022-07-12,0
301,임자도,2022-07-13,0
301,임자도,2022-07-14,12
301,임자도,2022-07-15,0
301,임자도,2022-07-16,0
301,임자도,2022-07-17,5
301,임자도,2022-07-18,49
301,임자도,2022-07-19,0
301,임자도,2022-07-20,4.5
301,임자도,2022-07-21,.5
301,임자도,2022-07-22,0
301,임자도,2022-07-23,50
301,임자도,2022-07-24,0
301,임자도,2022-07-25,0
301,임자도,2022-07-26,0
301,임자도,2022-07-27,0
301,임자도,2022-07-28,0
301,임자도,2022-07-29,0
301,임자도,2022-07-30,1
301,임자도,2022-07-31,7.5
301,임자도,2022-08-01,13.5
301,임자도,2022-08-02,0
301,임자도,2022-08-03,9.5
301,임자도,2022-08-04,0
301,임자도,2022-08-05,0
301,임자도,2022-08-06,0
301,임자도,2022-08-07,0
301,임자도,2022-08-08,0
301,임자도,2022-08-09,0
301,임자도,2022-08-10,0
