id,name,date,rainfall
402,강동,1998-08-25,0
402,강동,1998-08-26,0
402,강동,1998-08-27,.5
402,강동,1998-08-28,0
402,강동,1998-08-29,0
402,강동,1998-08-30,0
402,강동,1998-08-31,0
403,송파,1998-08-01,28.5
403,송파,1998-08-02,5.5
403,송파,1998-08-03,60.5
403,송파,1998-08-04,135
403,송파,1998-08-05,26.5
403,송파,1998-08-06,68
403,송파,1998-08-07,87.5
403,송파,1998-08-08,338
403,송파,1998-08-09,.5
403,송파,1998-08-10,39
403,송파,1998-08-11,46.5
403,송파,1998-08-12,7.5
403,송파,1998-08-13,0
403,송파,1998-08-15,28
403,송파,1998-08-16,0
403,송파,1998-08-17,0
403,송파,1998-08-18,0
403,송파,1998-08-19,0
403,송파,1998-08-20,13
403,송파,1998-08-21,0
403,송파,1998-08-22,0
403,송파,1998-08-23,19
403,송파,1998-08-24,2.5
403,송파,1998-08-25,0
403,송파,1998-08-26,0
403,송파,1998-08-27,11
403,송파,1998-08-28,0
403,송파,1998-08-29,2
403,송파,1998-08-30,0
403,송파,1998-08-31,0
404,강서,1998-08-01,18
404,강서,1998-08-02,1
404,강서,1998-08-03,25
404,강서,1998-08-04,109
404,강서,1998-08-05,80.5
404,강서,1998-08-06,119.5
404,강서,1998-08-07,15.5
404,강서,1998-08-08,241
404,강서,1998-08-09,4.5
404,강서,1998-08-10,47.5
404,강서,1998-08-11,31.5
404,강서,1998-08-12,12.5
404,강서,1998-08-13,0
404,강서,1998-08-15,66
404,강서,1998-08-16,0
404,강서,1998-08-17,0
404,강서,1998-08-18,5
404,강서,1998-08-19,0
404,강서,1998-08-20,0
404,강서,1998-08-21,0
404,강서,1998-08-22,0
404,강서,1998-08-23,13
404,강서,1998-08-24,0
404,강서,1998-08-25,0
404,강서,1998-08-26,0
404,강서,1998-08-27,11.5
404,강서,1998-08-28,0
404,강서,1998-08-29,0
404,강서,1998-08-30,0
404,강서,1998-08-31,0
405,양천,1998-08-01,16
405,양천,1998-08-02,13
405,양천,1998-08-03,36
405,양천,1998-08-04,170
405,양천,1998-08-05,72.5
405,양천,1998-08-06,96.5
405,양천,1998-08-07,21.5
405,양천,1998-08-08,266.5
405,양천,1998-08-09,1
405,양천,1998-08-10,66.5
405,양천,1998-08-11,25
405,양천,1998-08-12,12
405,양천,1998-08-13,0
405,양천,1998-08-15,60.5
405,양천,1998-08-16,0
405,양천,1998-08-17,0
405,양천,1998-08-18,0
405,양천,1998-08-19,7.5
405,양천,1998-08-20,.5
405,양천,1998-08-21,0
405,양천,1998-08-22,0
405,양천,1998-08-23,28.5
405,양천,1998-08-24,0
405,양천,1998-08-25,0
405,양천,1998-08-26,0
405,양천,1998-08-27,54
405,양천,1998-08-28,0
405,양천,1998-08-29,0
405,양천,1998-08-30,.5
405,양천,1998-08-31,0
406,도봉,1998-08-01,39
406,도봉,1998-08-02,7
406,도봉,1998-08-03,15
406,도봉,1998-08-04,92.5
406,도봉,1998-08-05,68
406,도봉,1998-08-06,215.5
406,도봉,1998-08-07,62
406,도봉,1998-08-08,342.5
406,도봉,1998-08-09,0
406,도봉,1998-08-10,45.5
406,도봉,1998-08-11,20
406,도봉,1998-08-12,13
406,도봉,1998-08-13,0
406,도봉,1998-08-15,93
406,도봉,1998-08-16,0
406,도봉,1998-08-17,4
