x	y	value
780000	1564000	0
781000	1564000	8
788000	1634000	13
789000	1637000	0
796000	1605000	5
796000	1607000	5
748000	1998000	7
750000	1998000	5
750000	1999000	8
751000	1995000	5
751000	1999000	75
752000	1996000	5
753000	1984000	5
753000	1985000	8
754000	1983000	5
754000	1984000	5
754000	1985000	0
754000	1986000	8
755000	1998000	8
756000	1977000	0
756000	1998000	5
757000	1978000	5
758000	1978000	0
749000	2000000	0
753000	2000000	5
753000	2001000	5
754000	2000000	0
755000	2000000	69
875000	1478000	0
875000	1480000	5
875000	1482000	5
876000	1476000	5
876000	1477000	5
876000	1478000	5
876000	1479000	8
876000	1480000	0
876000	1481000	5
876000	1482000	5
876000	1483000	5
876000	1484000	5
877000	1476000	5
877000	1477000	5
877000	1478000	0
877000	1479000	13
877000	1480000	13
877000	1481000	0
877000	1482000	0
877000	1483000	8
877000	1484000	8
877000	1485000	8
878000	1474000	5
878000	1475000	5
878000	1476000	8
878000	1477000	0
878000	1479000	8
878000	1480000	0
878000	1481000	5
878000	1483000	5
878000	1484000	0
878000	1485000	5
878000	1486000	5
879000	1473000	5
879000	1474000	8
879000	1475000	5
879000	1476000	5
879000	1481000	5
879000	1483000	5
879000	1485000	8
879000	1486000	5
880000	1473000	5
880000	1474000	5
880000	1478000	0
880000	1481000	5
880000	1483000	0
880000	1484000	5
880000	1487000	8
880000	1488000	5
881000	1473000	0
881000	1476000	0
881000	1477000	8
881000	1478000	5
881000	1479000	0
881000	1480000	0
881000	1481000	8
881000	1482000	8
881000	1483000	5
881000	1484000	5
881000	1488000	5
881000	1489000	13
881000	1491000	5
882000	1470000	0
882000	1471000	8
882000	1472000	5
882000	1473000	5
882000	1476000	8
882000	1478000	8
882000	1479000	0
882000	1480000	5
882000	1481000	0
882000	1483000	5
882000	1485000	0
882000	1488000	8
882000	1489000	5
883000	1469000	0
883000	1470000	38
883000	1471000	78
883000	1474000	0
883000	1476000	5
883000	1478000	5
883000	1479000	5
883000	1480000	5
883000	1481000	16
883000	1482000	5
883000	1486000	5
883000	1487000	0
883000	1488000	8
883000	1489000	18
883000	1490000	18
884000	1459000	5
884000	1469000	5
884000	1470000	83
884000	1471000	48
884000	1475000	5
884000	1480000	5
884000	1481000	8
884000	1482000	5
884000	1483000	5
884000	1484000	8
884000	1485000	8
884000	1486000	0
884000	1487000	5
884000	1488000	8
884000	1489000	0
884000	1490000	18
884000	1491000	63
884000	1492000	5
885000	1470000	5
885000	1471000	5
885000	1473000	0
885000	1474000	13
885000	1476000	5
885000	1477000	48
885000	1481000	8
885000	1483000	0
885000	1485000	5
885000	1486000	8
885000	1487000	5
885000	1488000	8
885000	1489000	8
885000	1490000	8
885000	1491000	110
885000	1492000	96
885000	1493000	32
885000	1494000	0
886000	1472000	0
886000	1473000	18
886000	1474000	5
886000	1475000	8
886000	1476000	13
886000	1477000	45
886000	1478000	73
886000	1484000	8
886000	1485000	5
886000	1487000	5
886000	1488000	5
886000	1489000	5
886000	1490000	0
886000	1491000	8
886000	1492000	13
886000	1493000	8
886000	1494000	8
886000	1495000	5
887000	1469000	0
887000	1471000	13
887000	1472000	8
887000	1477000	5
887000	1478000	13
887000	1479000	5
887000	1485000	8
887000	1486000	0
887000	1491000	5
887000	1492000	5
887000	1493000	5
887000	1494000	5
887000	1495000	18
888000	1471000	13
888000	1472000	8
888000	1473000	5
888000	1474000	13
888000	1475000	8
888000	1477000	23
888000	1478000	13
888000	1485000	8
888000	1486000	5
888000	1489000	0
888000	1490000	0
888000	1491000	5
888000	1492000	8
888000	1493000	5
888000	1494000	8
888000	1495000	13
889000	1471000	0
889000	1474000	8
889000	1475000	0
889000	1476000	5
889000	1483000	0
889000	1485000	0
889000	1486000	5
889000	1489000	0
889000	1492000	23
889000	1493000	5
889000	1495000	18
889000	1496000	8
889000	1497000	5
890000	1472000	0
890000	1473000	28
890000	1474000	8
890000	1476000	0
890000	1477000	8
890000	1478000	5
890000	1479000	5
890000	1488000	5
890000	1491000	5
890000	1492000	0
890000	1493000	5
890000	1494000	13
890000	1495000	5
890000	1496000	0
890000	1497000	49
891000	1472000	5
891000	1473000	67
891000	1474000	13
891000	1477000	5
891000	1478000	13
891000	1479000	5
891000	1480000	8
891000	1485000	0
891000	1490000	5
891000	1492000	8
891000	1493000	0
891000	1494000	23
891000	1495000	8
891000	1496000	13
891000	1497000	23
892000	1473000	0
892000	1474000	8
892000	1475000	5
892000	1478000	0
892000	1481000	5
892000	1490000	5
892000	1495000	13
892000	1496000	14
892000	1497000	13
893000	1474000	8
893000	1475000	0
893000	1476000	5
893000	1477000	5
893000	1480000	8
893000	1495000	5
893000	1496000	13
893000	1497000	13
893000	1498000	8
893000	1499000	0
894000	1471000	5
894000	1472000	18
894000	1473000	0
894000	1474000	5
894000	1475000	8
894000	1476000	8
894000	1484000	0
894000	1491000	5
894000	1492000	0
894000	1495000	5
894000	1496000	0
894000	1497000	8
894000	1498000	28
894000	1499000	5
895000	1472000	5
895000	1473000	0
895000	1475000	8
895000	1480000	0
895000	1490000	0
895000	1491000	5
895000	1492000	8
895000	1493000	8
895000	1494000	5
895000	1496000	5
895000	1497000	5
895000	1498000	52
895000	1499000	13
896000	1472000	8
896000	1473000	8
896000	1475000	5
896000	1479000	5
896000	1491000	0
896000	1492000	0
896000	1493000	8
896000	1495000	13
896000	1496000	8
896000	1497000	8
896000	1498000	13
896000	1499000	5
897000	1473000	0
897000	1475000	5
897000	1492000	8
897000	1493000	8
897000	1494000	8
897000	1495000	18
897000	1496000	5
897000	1497000	14
897000	1498000	13
897000	1499000	18
898000	1473000	5
898000	1474000	33
898000	1475000	22
898000	1492000	5
898000	1493000	18
898000	1494000	13
898000	1495000	5
898000	1496000	5
898000	1497000	34
898000	1498000	48
898000	1499000	127
899000	1473000	23
899000	1474000	61
899000	1475000	0
899000	1493000	5
899000	1494000	5
899000	1495000	5
899000	1496000	8
899000	1497000	45
899000	1498000	8
899000	1499000	224
848000	1581000	5
853000	1585000	5
855000	1583000	5
856000	1599000	0
858000	1591000	5
863000	1592000	0
863000	1593000	0
863000	1594000	0
865000	1583000	0
865000	1590000	5
865000	1591000	0
865000	1594000	5
866000	1590000	8
866000	1591000	5
866000	1593000	8
867000	1584000	0
867000	1589000	0
869000	1588000	5
869000	1589000	8
874000	1597000	5
875000	1599000	0
876000	1597000	0
876000	1599000	0
877000	1599000	0
878000	1585000	5
879000	1598000	8
880000	1597000	0
880000	1598000	5
881000	1599000	0
883000	1598000	5
888000	1552000	13
888000	1553000	0
888000	1599000	5
890000	1599000	5
891000	1550000	5
891000	1555000	0
892000	1551000	5
892000	1552000	5
896000	1500000	5
898000	1500000	13
899000	1500000	33
807000	1629000	5
807000	1630000	8
807000	1631000	5
808000	1629000	0
808000	1630000	8
808000	1633000	5
809000	1634000	5
810000	1635000	0
811000	1633000	5
811000	1634000	13
811000	1639000	8
811000	1640000	5
812000	1638000	5
813000	1630000	5
813000	1638000	5
813000	1639000	5
846000	1625000	0
848000	1626000	0
849000	1626000	0
850000	1625000	5
853000	1638000	5
854000	1639000	0
854000	1641000	5
854000	1642000	0
854000	1643000	5
855000	1634000	5
855000	1636000	0
855000	1637000	0
855000	1640000	5
855000	1641000	5
855000	1642000	5
855000	1643000	5
856000	1633000	5
856000	1634000	5
856000	1636000	5
856000	1637000	5
856000	1640000	0
856000	1641000	8
857000	1633000	0
857000	1634000	5
857000	1635000	5
857000	1642000	5
857000	1643000	8
858000	1633000	5
858000	1635000	8
858000	1636000	5
858000	1642000	5
858000	1643000	5
858000	1644000	0
859000	1627000	5
859000	1633000	8
859000	1634000	0
859000	1635000	0
859000	1637000	0
859000	1643000	5
859000	1644000	5
860000	1632000	5
860000	1633000	5
860000	1634000	0
860000	1636000	5
860000	1643000	5
860000	1644000	0
861000	1633000	5
861000	1635000	5
862000	1654000	0
863000	1654000	0
864000	1621000	5
864000	1625000	5
864000	1627000	5
864000	1639000	5
864000	1656000	0
865000	1621000	0
865000	1622000	5
865000	1623000	8
865000	1624000	8
865000	1626000	5
865000	1655000	5
865000	1656000	0
865000	1677000	5
866000	1601000	5
866000	1608000	0
866000	1609000	5
866000	1610000	5
866000	1623000	5
866000	1631000	0
866000	1652000	5
866000	1655000	5
866000	1657000	0
867000	1610000	5
867000	1617000	5
867000	1619000	5
867000	1655000	8
868000	1618000	0
868000	1632000	5
868000	1640000	0
868000	1647000	5
868000	1653000	5
868000	1656000	0
868000	1675000	8
868000	1676000	5
868000	1679000	8
869000	1623000	0
869000	1624000	5
869000	1625000	5
869000	1635000	5
869000	1646000	5
869000	1649000	0
869000	1651000	0
869000	1654000	0
869000	1656000	5
869000	1658000	5
869000	1659000	5
869000	1676000	0
869000	1678000	0
869000	1679000	0
870000	1620000	5
870000	1622000	0
870000	1635000	0
870000	1640000	5
870000	1641000	5
870000	1648000	0
870000	1651000	0
870000	1656000	0
870000	1676000	0
870000	1677000	5
870000	1678000	5
871000	1603000	5
871000	1622000	8
871000	1623000	5
871000	1642000	0
871000	1645000	0
871000	1646000	0
871000	1648000	0
871000	1655000	0
871000	1675000	5
871000	1676000	5
871000	1677000	5
872000	1637000	5
872000	1639000	0
872000	1641000	0
872000	1648000	0
872000	1649000	5
872000	1650000	0
872000	1675000	5
872000	1678000	8
872000	1679000	5
872000	1680000	0
873000	1600000	0
873000	1603000	0
873000	1605000	0
873000	1629000	0
873000	1638000	5
873000	1640000	0
873000	1641000	5
873000	1644000	0
873000	1646000	0
873000	1647000	0
873000	1648000	5
873000	1649000	5
873000	1650000	5
873000	1654000	5
873000	1677000	13
873000	1679000	5
873000	1681000	0
874000	1602000	5
874000	1607000	5
874000	1626000	5
874000	1629000	0
874000	1639000	8
874000	1640000	8
874000	1641000	5
874000	1643000	5
874000	1644000	5
874000	1651000	0
874000	1654000	5
874000	1668000	0
875000	1601000	5
875000	1603000	0
875000	1605000	8
875000	1626000	5
875000	1627000	5
875000	1628000	5
875000	1629000	5
875000	1637000	5
875000	1639000	5
875000	1642000	0
875000	1644000	0
875000	1663000	5
875000	1668000	8
875000	1669000	0
875000	1683000	0
875000	1689000	0
876000	1600000	5
876000	1602000	5
876000	1626000	0
876000	1631000	5
876000	1635000	5
876000	1636000	0
876000	1638000	0
876000	1646000	0
876000	1665000	5
876000	1668000	5
876000	1683000	8
876000	1690000	8
877000	1603000	5
877000	1604000	8
877000	1610000	0
877000	1627000	5
877000	1628000	5
877000	1629000	0
877000	1639000	0
877000	1640000	0
877000	1662000	5
877000	1669000	5
877000	1672000	0
877000	1678000	0
877000	1698000	5
878000	1604000	0
878000	1610000	0
878000	1626000	0
878000	1629000	5
878000	1630000	0
878000	1633000	8
878000	1636000	5
878000	1637000	5
878000	1655000	0
879000	1600000	0
879000	1602000	18
879000	1610000	5
879000	1625000	0
879000	1627000	5
879000	1628000	5
879000	1634000	0
879000	1655000	5
879000	1675000	0
879000	1677000	5
880000	1600000	5
880000	1602000	0
880000	1607000	8
880000	1609000	5
880000	1610000	5
880000	1679000	5
881000	1613000	0
881000	1626000	0
881000	1673000	8
881000	1674000	13
881000	1676000	8
881000	1678000	0
882000	1606000	0
882000	1607000	0
882000	1609000	0
882000	1615000	8
882000	1665000	5
882000	1674000	13
882000	1676000	0
883000	1603000	5
883000	1605000	0
883000	1607000	5
883000	1610000	0
883000	1611000	0
883000	1612000	0
883000	1616000	0
883000	1677000	0
884000	1600000	5
884000	1609000	8
884000	1610000	5
884000	1612000	8
884000	1614000	5
884000	1651000	8
884000	1658000	5
884000	1663000	0
884000	1677000	0
884000	1678000	0
885000	1600000	5
885000	1603000	0
885000	1607000	0
885000	1608000	5
885000	1609000	5
885000	1610000	48
885000	1611000	5
885000	1615000	5
885000	1650000	5
885000	1651000	5
885000	1652000	5
885000	1658000	0
885000	1662000	5
885000	1672000	0
885000	1680000	0
886000	1604000	5
886000	1605000	5
886000	1609000	109
886000	1610000	145
886000	1611000	23
886000	1614000	5
886000	1624000	0
886000	1630000	0
886000	1650000	5
886000	1652000	0
886000	1662000	0
886000	1665000	0
886000	1667000	0
886000	1671000	0
886000	1673000	5
886000	1674000	5
886000	1680000	0
887000	1603000	5
887000	1605000	5
887000	1610000	18
887000	1611000	5
887000	1615000	5
887000	1618000	0
887000	1619000	0
887000	1620000	5
887000	1624000	0
887000	1627000	8
887000	1628000	5
887000	1630000	5
887000	1634000	5
887000	1635000	0
887000	1652000	5
887000	1671000	0
888000	1600000	5
888000	1601000	0
888000	1605000	8
888000	1611000	0
888000	1612000	0
888000	1613000	5
888000	1615000	5
888000	1618000	0
888000	1635000	5
888000	1636000	0
888000	1638000	0
888000	1652000	5
888000	1654000	0
888000	1676000	0
888000	1677000	0
888000	1679000	5
888000	1680000	5
888000	1683000	5
889000	1601000	0
889000	1602000	0
889000	1606000	5
889000	1608000	5
889000	1615000	5
889000	1616000	5
889000	1619000	5
889000	1620000	5
889000	1624000	5
889000	1625000	0
889000	1629000	5
889000	1638000	5
889000	1643000	5
889000	1651000	5
889000	1652000	8
889000	1653000	5
889000	1661000	0
889000	1662000	0
889000	1663000	0
889000	1675000	5
889000	1676000	5
889000	1677000	5
889000	1680000	5
889000	1682000	5
890000	1602000	5
890000	1615000	5
890000	1618000	5
890000	1622000	18
890000	1623000	5
890000	1624000	0
890000	1626000	5
890000	1627000	5
890000	1628000	0
890000	1634000	5
890000	1638000	5
890000	1639000	5
890000	1640000	0
890000	1652000	5
890000	1653000	8
890000	1654000	0
890000	1656000	5
890000	1657000	5
890000	1673000	0
890000	1676000	0
890000	1680000	18
890000	1681000	5
891000	1604000	0
891000	1611000	0
891000	1612000	13
891000	1613000	0
891000	1622000	8
891000	1623000	5
891000	1624000	0
891000	1625000	0
891000	1626000	0
891000	1629000	0
891000	1633000	0
891000	1639000	0
891000	1642000	0
891000	1645000	5
891000	1651000	0
891000	1652000	13
891000	1653000	0
891000	1654000	5
891000	1656000	0
891000	1664000	0
891000	1668000	0
891000	1675000	5
891000	1680000	5
891000	1693000	5
891000	1694000	0
892000	1602000	0
892000	1603000	5
892000	1613000	0
892000	1614000	5
892000	1616000	5
892000	1620000	5
892000	1621000	5
892000	1623000	0
892000	1626000	0
892000	1627000	5
892000	1630000	5
892000	1631000	18
892000	1633000	5
892000	1634000	0
892000	1636000	0
892000	1637000	0
892000	1638000	0
892000	1645000	5
892000	1655000	5
892000	1656000	5
892000	1661000	0
892000	1662000	0
892000	1664000	5
892000	1678000	5
892000	1679000	5
892000	1680000	0
892000	1692000	0
892000	1693000	0
892000	1695000	8
893000	1601000	0
893000	1603000	5
893000	1608000	5
893000	1611000	8
893000	1614000	5
893000	1616000	0
893000	1624000	5
893000	1625000	0
893000	1626000	0
893000	1629000	5
893000	1631000	0
893000	1633000	0
893000	1634000	5
893000	1635000	0
893000	1636000	5
893000	1647000	5
893000	1650000	0
893000	1651000	0
893000	1652000	8
893000	1656000	5
893000	1657000	5
893000	1659000	0
893000	1660000	5
893000	1662000	5
893000	1663000	5
893000	1682000	5
893000	1691000	5
893000	1692000	5
893000	1694000	5
894000	1602000	5
894000	1603000	5
894000	1605000	5
894000	1607000	5
894000	1610000	5
894000	1611000	5
894000	1615000	5
894000	1623000	5
894000	1625000	0
894000	1627000	8
894000	1628000	5
894000	1632000	0
894000	1636000	0
894000	1648000	5
894000	1649000	0
894000	1650000	5
894000	1651000	5
894000	1652000	0
894000	1655000	0
894000	1662000	5
894000	1663000	5
894000	1664000	5
894000	1667000	5
894000	1676000	0
894000	1677000	0
894000	1684000	5
895000	1602000	0
895000	1605000	5
895000	1606000	0
895000	1608000	5
895000	1609000	5
895000	1611000	5
895000	1613000	5
895000	1620000	0
895000	1622000	5
895000	1623000	5
895000	1633000	5
895000	1649000	5
895000	1650000	5
895000	1661000	5
895000	1663000	5
895000	1664000	5
895000	1665000	5
895000	1667000	0
895000	1673000	5
895000	1675000	5
895000	1691000	5
895000	1692000	5
895000	1693000	0
895000	1696000	5
896000	1609000	0
896000	1610000	8
896000	1611000	5
896000	1612000	0
896000	1620000	5
896000	1621000	5
896000	1622000	0
896000	1623000	0
896000	1624000	0
896000	1632000	5
896000	1633000	8
896000	1639000	14
896000	1641000	0
896000	1643000	8
896000	1644000	8
896000	1645000	23
896000	1646000	379
896000	1650000	0
896000	1653000	0
896000	1662000	0
896000	1667000	5
896000	1668000	5
896000	1672000	5
896000	1673000	0
896000	1674000	5
896000	1686000	0
896000	1687000	5
896000	1688000	5
896000	1692000	5
896000	1694000	8
896000	1696000	8
896000	1697000	5
897000	1616000	0
897000	1623000	0
897000	1629000	5
897000	1631000	0
897000	1639000	147
897000	1640000	46
897000	1643000	48
897000	1644000	58
897000	1645000	339
897000	1646000	414
897000	1647000	199
897000	1662000	0
897000	1667000	5
897000	1668000	0
897000	1669000	5
897000	1685000	5
897000	1689000	5
897000	1691000	8
897000	1692000	5
897000	1694000	0
897000	1695000	0
897000	1696000	5
897000	1697000	8
897000	1698000	0
898000	1616000	5
898000	1619000	0
898000	1621000	5
898000	1630000	5
898000	1635000	5
898000	1638000	0
898000	1639000	5
898000	1641000	52
898000	1644000	68
898000	1645000	93
898000	1646000	163
898000	1647000	725
898000	1648000	0
898000	1656000	0
898000	1661000	0
898000	1669000	5
898000	1670000	5
898000	1671000	5
898000	1674000	0
898000	1676000	0
898000	1677000	5
898000	1684000	8
898000	1685000	0
898000	1686000	5
898000	1688000	0
898000	1692000	5
898000	1693000	0
898000	1695000	5
898000	1698000	5
898000	1699000	8
899000	1616000	0
899000	1617000	5
899000	1618000	8
899000	1629000	5
899000	1630000	5
899000	1631000	5
899000	1632000	5
899000	1633000	5
899000	1634000	5
899000	1640000	0
899000	1641000	5
899000	1644000	157
899000	1645000	160
899000	1646000	189
899000	1647000	254
899000	1649000	5
899000	1652000	0
899000	1653000	0
899000	1656000	5
899000	1662000	0
899000	1668000	0
899000	1669000	5
899000	1670000	5
899000	1671000	5
899000	1674000	8
899000	1675000	5
899000	1683000	5
899000	1684000	0
899000	1690000	0
899000	1691000	5
899000	1692000	5
899000	1694000	5
899000	1698000	5
899000	1699000	13
863000	1792000	0
865000	1706000	5
866000	1706000	5
887000	1731000	5
889000	1735000	0
890000	1733000	5
890000	1734000	0
890000	1735000	5
891000	1736000	0
897000	1701000	0
897000	1702000	0
897000	1758000	5
898000	1700000	5
898000	1701000	5
898000	1702000	0
898000	1703000	5
898000	1704000	5
899000	1700000	5
899000	1705000	0
866000	1892000	5
872000	1804000	8
878000	1853000	5
878000	1854000	8
878000	1859000	5
878000	1860000	5
878000	1864000	5
878000	1865000	5
879000	1854000	5
879000	1855000	0
879000	1865000	5
881000	1855000	0
881000	1858000	5
881000	1864000	5
881000	1866000	0
882000	1856000	5
882000	1857000	5
882000	1861000	5
882000	1871000	0
882000	1876000	5
883000	1861000	8
883000	1863000	5
883000	1872000	0
883000	1876000	0
884000	1855000	5
884000	1856000	0
884000	1860000	0
884000	1861000	0
884000	1862000	0
884000	1863000	0
884000	1865000	0
884000	1868000	0
884000	1870000	0
884000	1877000	0
885000	1857000	0
885000	1861000	5
885000	1876000	0
886000	1856000	5
886000	1857000	5
